palabra,estado,información
μεταπέμψηται,pendiente,
μεταπεμπόμενος,pendiente,
μεταπεμφθείς,pendiente,
μεταπεμψάμενος,pendiente,
μεταστήσας,pendiente,
μετασταθῶ,pendiente,
μεταστρέψαι,pendiente,
μεταστραφήσεται,pendiente,
μετασχηματίζεται,pendiente,
μετασχηματίζονται,pendiente,
μετασχηματίσει,pendiente,
μετασχηματιζόμενοι,pendiente,
μετατίθεσθε,pendiente,
μετατιθέντες,pendiente,
μετατιθεμένης,pendiente,
μετατραπήτω,pendiente,
μετεκαλέσατο,pendiente,
μετελάμβανον,pendiente,
μετεμελήθητε,pendiente,
μετεμελόμην,pendiente,
μετεμορφώθη,pendiente,
μετενόησαν,pendiente,
μετεπέμψασθέ,pendiente,
μετεπέμψατο,pendiente,
μετεσχημάτισα,pendiente,
μετετέθη,pendiente,
μετετέθησαν,pendiente,
μετεωρίζεσθε,pendiente,
μετοικεσίαν,pendiente,
μετοικεσίας,pendiente,
μετοικιῶ,pendiente,
μετοχὴ,pendiente,
μετρήσῃ,pendiente,
μετρήσῃς,pendiente,
μετρίως,pendiente,
μετρεῖτε,pendiente,
μετρηθήσεται,pendiente,
μετρητὰς,pendiente,
μετριοπαθεῖν,pendiente,
μετροῦντες,pendiente,
μετόχοις,pendiente,
μετόχους,pendiente,
μετώπου,pendiente,
μετώπων,pendiente,
μετὰ,pendiente,
μετῆρεν,pendiente,
μετῴκισεν,pendiente,
μεῖζον,pendiente,
μεῖζόν,pendiente,
μεῖναι,pendiente,
μεῖνον,pendiente,
μηδ,pendiente,
μηδέν,pendiente,
μηδένα,pendiente,
μηδέποτε,pendiente,
μηδέπω,pendiente,
μηδαμῶς,pendiente,
μηδείς,pendiente,
μηδεμίαν,pendiente,
μηδενὶ,pendiente,
μηδενὸς,pendiente,
μηδεὶς,pendiente,
μηδὲ,pendiente,
μηδὲν,pendiente,
μηθὲν,pendiente,
μηκέτι,pendiente,
μηκύνηται,pendiente,
μηλωταῖς,pendiente,
μηνυθείσης,pendiente,
μηνύσαντα,pendiente,
μηνύσῃ,pendiente,
μηνὶ,pendiente,
μηρὸν,pendiente,
μητέρα,pendiente,
μητέρας,pendiente,
μητρί,pendiente,
μητρολῴαις,pendiente,
μητρός,pendiente,
μητρὶ,pendiente,
μητρὸς,pendiente,
μιάσματα,pendiente,
μιαίνουσιν,pendiente,
μιανθῶσιν,pendiente,
μιασμοῦ,pendiente,
μικρούς,pendiente,
μικροὶ,pendiente,
μικροὺς,pendiente,
μικροῦ,pendiente,
μικρόν,pendiente,
μικρότερον,pendiente,
μικρότερος,pendiente,
μικρὰ,pendiente,
μικρὰν,pendiente,
μικρὸν,pendiente,
μικρὸς,pendiente,
μικρῶν,pendiente,
μικρῷ,pendiente,
μιλήτου,pendiente,
μιλήτῳ,pendiente,
μιμεῖσθαι,pendiente,
μιμεῖσθε,pendiente,
μιμηταί,pendiente,
μιμηταὶ,pendiente,
μιμνῄσκεσθε,pendiente,
μιμνῄσκῃ,pendiente,
μιμοῦ,pendiente,
μισήσει,pendiente,
μισήσεις,pendiente,
μισήσουσιν,pendiente,
μισήσωσιν,pendiente,
μισεῖ,pendiente,
μισεῖν,pendiente,
μισεῖς,pendiente,
μισθίων,pendiente,
μισθαποδοσίαν,pendiente,
μισθαποδότης,pendiente,
μισθοῦ,pendiente,
μισθωτός,pendiente,
μισθωτὸς,pendiente,
μισθωτῶν,pendiente,
μισθός,pendiente,
μισθώματι,pendiente,
μισθώσασθαι,pendiente,
μισθὸν,pendiente,
μισθὸς,pendiente,
μισούμενοι,pendiente,
μισούντων,pendiente,
μισοῦντες,pendiente,
μισοῦσιν,pendiente,
μισῇ,pendiente,
μισῶ,pendiente,
μισῶν,pendiente,
μιτυλήνην,pendiente,
μιχαὴλ,pendiente,
μιᾶς,pendiente,
μιᾷ,pendiente,
μνάσωνί,pendiente,
μνήμασιν,pendiente,
μνήματι,pendiente,
μνήμην,pendiente,
μνήσθητί,pendiente,
μνήσθητε,pendiente,
μνήσθητι,pendiente,
μνείαν,pendiente,
μνείᾳ,pendiente,
μνημείοις,pendiente,
μνημείου,pendiente,
μνημείων,pendiente,
μνημείῳ,pendiente,
μνημεῖα,pendiente,
μνημεῖον,pendiente,
μνημονεύει,pendiente,
μνημονεύειν,pendiente,
μνημονεύετέ,pendiente,
μνημονεύετε,pendiente,
μνημονεύητε,pendiente,
μνημονεύοντες,pendiente,
μνημονεύωμεν,pendiente,
μνημόνευε,pendiente,
μνημόσυνον,pendiente,
μνησθήσομαι,pendiente,
μνησθῆναι,pendiente,
μνησθῇς,pendiente,
μνησθῶ,pendiente,
μνηστευθείσης,pendiente,
μνᾶ,pendiente,
μνᾶν,pendiente,
μνᾶς,pendiente,
μνῆμα,pendiente,
μοί,pendiente,
μογιλάλον,pendiente,
μοι,pendiente,
μοιχαλίδα,pendiente,
μοιχαλίδες,pendiente,
μοιχαλίδι,pendiente,
μοιχαλίδος,pendiente,
μοιχαλὶς,pendiente,
μοιχείᾳ,pendiente,
μοιχευθῆναι,pendiente,
μοιχευομένη,pendiente,
μοιχεύει,pendiente,
μοιχεύειν,pendiente,
μοιχεύεις,pendiente,
μοιχεύοντας,pendiente,
μοιχεύσεις,pendiente,
μοιχεύσῃς,pendiente,
μοιχεῖαι,pendiente,
μοιχοί,pendiente,
μοιχοὶ,pendiente,
μοιχοὺς,pendiente,
μοιχᾶται,pendiente,
μολυσμοῦ,pendiente,
μολύνεται,pendiente,
μομφήν,pendiente,
μοναὶ,pendiente,
μονογενής,pendiente,
μονογενοῦς,pendiente,
μονογενὴς,pendiente,
μονογενῆ,pendiente,
μονόφθαλμον,pendiente,
μονὴν,pendiente,
μορφωθῇ,pendiente,
μορφὴν,pendiente,
μορφῇ,pendiente,
μου,pendiente,
μουσικῶν,pendiente,
μού,pendiente,
μυελῶν,pendiente,
μυκτηρίζεται,pendiente,
μυκᾶται,pendiente,
μυλικὸς,pendiente,
μυρίους,pendiente,
μυρίσαι,pendiente,
μυρίων,pendiente,
μυριάδας,pendiente,
μυριάδες,pendiente,
μυριάδων,pendiente,
μυριάσιν,pendiente,
μυσίαν,pendiente,
μυστήρια,pendiente,
μυστήριον,pendiente,
μυστηρίου,pendiente,
μυστηρίων,pendiente,
μυστηρίῳ,pendiente,
μυωπάζων,pendiente,
μωμήσηται,pendiente,
μωμηθῇ,pendiente,
μωρέ,pendiente,
μωρία,pendiente,
μωρίαν,pendiente,
μωρίας,pendiente,
μωρανθῇ,pendiente,
μωραὶ,pendiente,
μωρολογία,pendiente,
μωροὶ,pendiente,
μωρὰ,pendiente,
μωρὰς,pendiente,
μωρὸν,pendiente,
μωρὸς,pendiente,
μωρῷ,pendiente,
μωϋσέα,pendiente,
μωϋσέως,pendiente,
μωϋσεῖ,pendiente,
μωϋσῆν,pendiente,
μωϋσῆς,pendiente,
μωϋσῇ,pendiente,
μόγις,pendiente,
μόδιον,pendiente,
μόλις,pendiente,
μόλοχ,pendiente,
μόνα,pendiente,
μόνας,pendiente,
μόνην,pendiente,
μόνοι,pendiente,
μόνοις,pendiente,
μόνον,pendiente,
μόνος,pendiente,
μόνου,pendiente,
μόνους,pendiente,
μόνῳ,pendiente,
μόρφωσιν,pendiente,
μόσχον,pendiente,
μόσχων,pendiente,
μόσχῳ,pendiente,
μόχθον,pendiente,
μόχθῳ,pendiente,
μύθοις,pendiente,
μύθους,pendiente,
μύλινον,pendiente,
μύλος,pendiente,
μύλου,pendiente,
μύλῳ,pendiente,
μύρα,pendiente,
μύρον,pendiente,
μύρου,pendiente,
μύρῳ,pendiente,
μώλωπι,pendiente,
μὲν,pendiente,
μὴ,pendiente,
μὴν,pendiente,
μᾶλλον,pendiente,
μᾶρκον,pendiente,
μᾶρκος,pendiente,
μῆδοι,pendiente,
μῆκος,pendiente,
μῆνα,pendiente,
μῆνας,pendiente,
μῶμοι,pendiente,
ν,pendiente,
νάρδου,pendiente,
νέαν,pendiente,
νέας,pendiente,
νέκρωσιν,pendiente,
νέον,pendiente,
νέος,pendiente,
νέφος,pendiente,
νήθει,pendiente,
νήθουσιν,pendiente,
νήπιοι,pendiente,
νήπιος,pendiente,
νήπιός,pendiente,
νήσου,pendiente,
νήστεις,pendiente,
νήσῳ,pendiente,
νήφοντες,pendiente,
νήφωμεν,pendiente,
νήψατε,pendiente,
νίγερ,pendiente,
νίκα,pendiente,
νίκη,pendiente,
νίπτειν,pendiente,
νίπτεις,pendiente,
νίπτονται,pendiente,
νίψαι,pendiente,
νίψασθαι,pendiente,
νίψω,pendiente,
νίψωνται,pendiente,
νίψῃς,pendiente,
ναί,pendiente,
ναασσών,pendiente,
ναασσὼν,pendiente,
ναγγαὶ,pendiente,
ναζαρά,pendiente,
ναζαρέθ,pendiente,
ναζαρέτ,pendiente,
ναζαρηνέ,pendiente,
ναζαρηνοῦ,pendiente,
ναζαρηνός,pendiente,
ναζαρηνὸν,pendiente,
ναζαρὰ,pendiente,
ναζαρὲθ,pendiente,
ναζαρὲτ,pendiente,
ναζωραίου,pendiente,
ναζωραίων,pendiente,
ναζωραῖον,pendiente,
ναζωραῖος,pendiente,
ναθαναήλ,pendiente,
ναθαναὴλ,pendiente,
ναθὰμ,pendiente,
ναιμὰν,pendiente,
ναοὺμ,pendiente,
ναοὺς,pendiente,
ναοῖς,pendiente,
ναοῦ,pendiente,
ναρκίσσου,pendiente,
ναυκλήρῳ,pendiente,
ναυτῶν,pendiente,
ναχὼρ,pendiente,
ναὶ,pendiente,
ναὸν,pendiente,
ναὸς,pendiente,
ναῒν,pendiente,
ναῦν,pendiente,
ναῦται,pendiente,
ναῷ,pendiente,
νεανίαν,pendiente,
νεανίας,pendiente,
νεανίου,pendiente,
νεανίσκε,pendiente,
νεανίσκοι,pendiente,
νεανίσκον,pendiente,
νεανίσκος,pendiente,
νεκρά,pendiente,
νεκροί,pendiente,
νεκρούς,pendiente,
νεκροὶ,pendiente,
νεκροὺς,pendiente,
νεκροῖς,pendiente,
νεκροῦ,pendiente,
νεκρόν,pendiente,
νεκρός,pendiente,
νεκρώσατε,pendiente,
νεκρὰν,pendiente,
νεκρὸν,pendiente,
νεκρὸς,pendiente,
νεκρῶν,pendiente,
νενίκηκα,pendiente,
νενεκρωμένον,pendiente,
νενεκρωμένου,pendiente,
νενικήκατε,pendiente,
νενομοθέτηται,pendiente,
νεομηνίας,pendiente,
νεφέλαι,pendiente,
νεφέλαις,pendiente,
νεφέλη,pendiente,
νεφέλην,pendiente,
νεφέλης,pendiente,
νεφέλῃ,pendiente,
νεφελῶν,pendiente,
νεφθαλίμ,pendiente,
νεφθαλὶμ,pendiente,
νεφροὺς,pendiente,
νεωκόρον,pendiente,
νεωτέρας,pendiente,
νεωτέρους,pendiente,
νεωτερικὰς,pendiente,
νεότητος,pendiente,
νεότητός,pendiente,
νεόφυτον,pendiente,
νεύει,pendiente,
νεύσαντος,pendiente,
νεώτεροι,pendiente,
νεώτερος,pendiente,
νηπίοις,pendiente,
νηπίου,pendiente,
νηπίων,pendiente,
νηπιάζετε,pendiente,
νηρέα,pendiente,
νηρὶ,pendiente,
νησίον,pendiente,
νηστείαις,pendiente,
νηστείαν,pendiente,
νηστειῶν,pendiente,
νηστευόντων,pendiente,
νηστεύειν,pendiente,
νηστεύητε,pendiente,
νηστεύομεν,pendiente,
νηστεύοντες,pendiente,
νηστεύουσιν,pendiente,
νηστεύσαντες,pendiente,
νηστεύσας,pendiente,
νηστεύσουσιν,pendiente,
νηστεύω,pendiente,
νηστεύων,pendiente,
νηστεῦσαι,pendiente,
νηφάλιον,pendiente,
νηφαλίους,pendiente,
νικάνορα,pendiente,
νικήσασα,pendiente,
νικήσει,pendiente,
νικήσεις,pendiente,
νικήσῃ,pendiente,
νικολαϊτῶν,pendiente,
νικόδημος,pendiente,
νικόλαον,pendiente,
νικόπολιν,pendiente,
νικᾷ,pendiente,
νικῆσαι,pendiente,
νικῶ,pendiente,
νικῶν,pendiente,
νικῶντας,pendiente,
νικῶντι,pendiente,
νινευίταις,pendiente,
νινευῖται,pendiente,
νιπτῆρα,pendiente,
νιψάμενος,pendiente,
νοΐ,pendiente,
νοήματα,pendiente,
νοήσωσιν,pendiente,
νοείτω,pendiente,
νοεῖτε,pendiente,
νομίζει,pendiente,
νομίζειν,pendiente,
νομίζοντες,pendiente,
νομίζω,pendiente,
νομίζων,pendiente,
νομίμως,pendiente,
νομίσαντες,pendiente,
νομίσητε,pendiente,
νομιζόντων,pendiente,
νομικοὶ,pendiente,
νομικοὺς,pendiente,
νομικοῖς,pendiente,
νομικός,pendiente,
νομικὰς,pendiente,
νομικὸν,pendiente,
νομικὸς,pendiente,
νομικῶν,pendiente,
νομοδιδάσκαλοι,pendiente,
νομοδιδάσκαλος,pendiente,
νομοθέτης,pendiente,
νομοθεσία,pendiente,
νομὴν,pendiente,
νοούμενα,pendiente,
νοοῦμεν,pendiente,
νοοῦντες,pendiente,
νοσσία,pendiente,
νοσσιὰν,pendiente,
νοσσοὺς,pendiente,
νοσφίσασθαι,pendiente,
νοσφιζομένους,pendiente,
νοσῶν,pendiente,
νουθεσίαν,pendiente,
νουθεσίᾳ,pendiente,
νουθετεῖν,pendiente,
νουθετεῖτε,pendiente,
νουθετοῦντας,pendiente,
νουθετοῦντες,pendiente,
νουθετῶ,pendiente,
νουθετῶν,pendiente,
νουνεχῶς,pendiente,
νοός,pendiente,
νοὸς,pendiente,
νοῆσαι,pendiente,
νοῒ,pendiente,
νοῦν,pendiente,
νοῦς,pendiente,
νυκτί,pendiente,
νυκτός,pendiente,
νυκτὶ,pendiente,
νυκτὸς,pendiente,
νυμφίον,pendiente,
νυμφίος,pendiente,
νυμφίου,pendiente,
νυμφῶνος,pendiente,
νυν,pendiente,
νυνὶ,pendiente,
νυστάζει,pendiente,
νυχθήμερον,pendiente,
νωθροὶ,pendiente,
νόει,pendiente,
νόημα,pendiente,
νόθοι,pendiente,
νόμισμα,pendiente,
νόμον,pendiente,
νόμος,pendiente,
νόμου,pendiente,
νόμους,pendiente,
νόμῳ,pendiente,
νόσοις,pendiente,
νόσον,pendiente,
νόσους,pendiente,
νόσων,pendiente,
νότον,pendiente,
νότου,pendiente,
νύκτα,pendiente,
νύκτας,pendiente,
νύμφαν,pendiente,
νύμφη,pendiente,
νύμφην,pendiente,
νύμφης,pendiente,
νύξ,pendiente,
νὴ,pendiente,
νὺξ,pendiente,
νῆσον,pendiente,
νῆσος,pendiente,
νῆφε,pendiente,
νῖκος,pendiente,
νῦν,pendiente,
νῶε,pendiente,
νῶτον,pendiente,
ξέναις,pendiente,
ξένοι,pendiente,
ξένοις,pendiente,
ξένον,pendiente,
ξένος,pendiente,
ξένου,pendiente,
ξένους,pendiente,
ξένων,pendiente,
ξενίαν,pendiente,
ξενίζεσθε,pendiente,
ξενίζεται,pendiente,
ξενίζοντα,pendiente,
ξενίζονται,pendiente,
ξενίσαντες,pendiente,
ξενισθῶμεν,pendiente,
ξεστῶν,pendiente,
ξηρά,pendiente,
ξηράν,pendiente,
ξηραίνεται,pendiente,
ξηρὰν,pendiente,
ξηρᾶς,pendiente,
ξηρῶν,pendiente,
ξηρῷ,pendiente,
ξυρήσονται,pendiente,
ξυρᾶσθαι,pendiente,
ξύλα,pendiente,
ξύλινα,pendiente,
ξύλον,pendiente,
ξύλου,pendiente,
ξύλων,pendiente,
ξύλῳ,pendiente,
ο,pendiente,
οἰέσθω,pendiente,
οἰκέται,pendiente,
οἰκέτην,pendiente,
οἰκέτης,pendiente,
οἰκήματι,pendiente,
οἰκία,pendiente,
οἰκίαν,pendiente,
οἰκίας,pendiente,
οἰκίᾳ,pendiente,
οἰκείους,pendiente,
οἰκείων,pendiente,
οἰκετείας,pendiente,
οἰκετῶν,pendiente,
οἰκεῖ,pendiente,
οἰκεῖν,pendiente,
οἰκεῖοι,pendiente,
οἰκητήριον,pendiente,
οἰκιακοὶ,pendiente,
οἰκιακοὺς,pendiente,
οἰκιῶν,pendiente,
οἰκοδεσποτεῖν,pendiente,
οἰκοδεσπότην,pendiente,
οἰκοδεσπότης,pendiente,
οἰκοδεσπότου,pendiente,
οἰκοδεσπότῃ,pendiente,
οἰκοδομάς,pendiente,
οἰκοδομή,pendiente,
οἰκοδομήθη,pendiente,
οἰκοδομήν,pendiente,
οἰκοδομήσαντι,pendiente,
οἰκοδομήσετέ,pendiente,
οἰκοδομήσω,pendiente,
οἰκοδομαί,pendiente,
οἰκοδομεῖ,pendiente,
οἰκοδομεῖν,pendiente,
οἰκοδομεῖσθε,pendiente,
οἰκοδομεῖται,pendiente,
οἰκοδομεῖτε,pendiente,
οἰκοδομηθήσεται,pendiente,
οἰκοδομουμένη,pendiente,
οἰκοδομοῦντες,pendiente,
οἰκοδομοῦντι,pendiente,
οἰκοδομὰς,pendiente,
οἰκοδομὴ,pendiente,
οἰκοδομὴν,pendiente,
οἰκοδομῆς,pendiente,
οἰκοδομῆσαι,pendiente,
οἰκοδομῆσθαι,pendiente,
οἰκοδομῶ,pendiente,
οἰκοδομῶν,pendiente,
οἰκοδόμησεν,pendiente,
οἰκοδόμων,pendiente,
οἰκονομία,pendiente,
οἰκονομίαν,pendiente,
οἰκονομίας,pendiente,
οἰκονομεῖν,pendiente,
οἰκονόμοι,pendiente,
οἰκονόμοις,pendiente,
οἰκονόμον,pendiente,
οἰκονόμος,pendiente,
οἰκονόμους,pendiente,
οἰκουμένη,pendiente,
οἰκουμένην,pendiente,
οἰκουμένης,pendiente,
οἰκουμένῃ,pendiente,
οἰκουργοὺς,pendiente,
οἰκοῦσα,pendiente,
οἰκτίρμονες,pendiente,
οἰκτίρμων,pendiente,
οἰκτίρω,pendiente,
οἰκτιρήσω,pendiente,
οἰκτιρμοί,pendiente,
οἰκτιρμοῦ,pendiente,
οἰκτιρμῶν,pendiente,
οἰκῶν,pendiente,
οἰνοπότης,pendiente,
οἰνοφλυγίαις,pendiente,
οἰόμενοι,pendiente,
οἱ,pendiente,
οἳ,pendiente,
οἴδαμεν,pendiente,
οἴδασιν,pendiente,
οἴδατε,pendiente,
οἴκοις,pendiente,
οἴκου,pendiente,
οἴκους,pendiente,
οἴκων,pendiente,
οἴκῳ,pendiente,
οἴνου,pendiente,
οἴνῳ,pendiente,
οἴσει,pendiente,
οἴσουσιν,pendiente,
οἵ,pendiente,
οἵα,pendiente,
οἵους,pendiente,
οἵτινές,pendiente,
οἵτινες,pendiente,
οἶδά,pendiente,
οἶδα,pendiente,
οἶδας,pendiente,
οἶδεν,pendiente,
οἶκον,pendiente,
οἶκος,pendiente,
οἶκόν,pendiente,
οἶκός,pendiente,
οἶμαι,pendiente,
οἶνον,pendiente,
οἶνος,pendiente,
οἷά,pendiente,
οἷα,pendiente,
οἷοί,pendiente,
οἷοι,pendiente,
οἷον,pendiente,
οἷος,pendiente,
οἷς,pendiente,
οὐ,pendiente,
οὐαί,pendiente,
οὐαὶ,pendiente,
οὐδ,pendiente,
οὐδέν,pendiente,
οὐδένα,pendiente,
οὐδέποτε,pendiente,
οὐδέπω,pendiente,
οὐδαμῶς,pendiente,
οὐδείς,pendiente,
οὐδεμία,pendiente,
οὐδεμίαν,pendiente,
οὐδενός,pendiente,
οὐδενὶ,pendiente,
οὐδενὸς,pendiente,
οὐδεὶς,pendiente,
οὐδὲ,pendiente,
οὐδὲν,pendiente,
οὐθέν,pendiente,
οὐθενός,pendiente,
οὐθὲν,pendiente,
οὐκ,pendiente,
οὐκέτι,pendiente,
οὐκοῦν,pendiente,
οὐράνιος,pendiente,
οὐρίου,pendiente,
οὐρανίου,pendiente,
οὐρανίῳ,pendiente,
οὐρανοί,pendiente,
οὐρανούς,pendiente,
οὐρανοὶ,pendiente,
οὐρανοὺς,pendiente,
οὐρανοῖς,pendiente,
οὐρανοῦ,pendiente,
οὐρανόθεν,pendiente,
οὐρανόν,pendiente,
οὐρανός,pendiente,
οὐρανὲ,pendiente,
οὐρανὸν,pendiente,
οὐρανὸς,pendiente,
οὐρανῶν,pendiente,
οὐρανῷ,pendiente,
οὐραὶ,pendiente,
οὐραῖς,pendiente,
οὐρβανὸν,pendiente,
οὐρὰ,pendiente,
οὐρὰς,pendiente,
οὐσίαν,pendiente,
οὐσίας,pendiente,
οὐσῶν,pendiente,
οὐχ,pendiente,
οὐχί,pendiente,
οὐχὶ,pendiente,
οὐὰ,pendiente,
οὒ,pendiente,
οὓς,pendiente,
οὔ,pendiente,
οὔπω,pendiente,
οὔσης,pendiente,
οὔσῃ,pendiente,
οὔτε,pendiente,
οὕτως,pendiente,
οὖν,pendiente,
οὖς,pendiente,
οὖσα,pendiente,
οὖσαι,pendiente,
οὖσαν,pendiente,
οὖσιν,pendiente,
οὗ,pendiente,
οὗτοί,pendiente,
οὗτοι,pendiente,
οὗτος,pendiente,
οὗτός,pendiente,
πάγον,pendiente,
πάγου,pendiente,
πάθει,pendiente,
πάθη,pendiente,
πάθημα,pendiente,
πάθος,pendiente,
πάθῃ,pendiente,
πάλαι,pendiente,
πάλη,pendiente,
πάλιν,pendiente,
πάντα,pendiente,
πάντας,pendiente,
πάντες,pendiente,
πάντοθεν,pendiente,
πάντοτέ,pendiente,
πάντοτε,pendiente,
πάντων,pendiente,
πάντως,pendiente,
πάντῃ,pendiente,
πάρει,pendiente,
πάρεισιν,pendiente,
πάρεσιν,pendiente,
πάρεσμεν,pendiente,
πάρεστε,pendiente,
πάρεστιν,pendiente,
πάρεχε,pendiente,
πάρθοι,pendiente,
πάροικοι,pendiente,
πάροικον,pendiente,
πάροικος,pendiente,
πάροινον,pendiente,
πάσαις,pendiente,
πάσας,pendiente,
πάσης,pendiente,
πάσχα,pendiente,
πάσχει,pendiente,
πάσχειν,pendiente,
πάσχετε,pendiente,
πάσχοιτε,pendiente,
πάσχομεν,pendiente,
πάσχοντες,pendiente,
πάσχω,pendiente,
πάσχων,pendiente,
πάσῃ,pendiente,
πάταρα,pendiente,
πάτερ,pendiente,
πάτμῳ,pendiente,
πάφου,pendiente,
πέδαις,pendiente,
πέδας,pendiente,
πέλαγος,pendiente,
πέμπει,pendiente,
πέμπειν,pendiente,
πέμποντα,pendiente,
πέμπτην,pendiente,
πέμπτος,pendiente,
πέμπω,pendiente,
πέμψαι,pendiente,
πέμψαντά,pendiente,
πέμψαντί,pendiente,
πέμψαντα,pendiente,
πέμψαντες,pendiente,
πέμψαντος,pendiente,
πέμψαντός,pendiente,
πέμψας,pendiente,
πέμψασιν,pendiente,
πέμψει,pendiente,
πέμψον,pendiente,
πέμψουσιν,pendiente,
πέμψω,pendiente,
πέμψῃς,pendiente,
πένησιν,pendiente,
πένθος,pendiente,
πέντε,pendiente,
πέπαυται,pendiente,
πέπεισμαι,pendiente,
πέποιθάς,pendiente,
πέποιθα,pendiente,
πέποιθεν,pendiente,
πέπονθεν,pendiente,
πέπρακεν,pendiente,
πέπραχά,pendiente,
πέπτωκας,pendiente,
πέπωκαν,pendiente,
πέραν,pendiente,
πέρας,pendiente,
πέρατα,pendiente,
πέργαμον,pendiente,
πέργην,pendiente,
πέργης,pendiente,
πέργῃ,pendiente,
πέριξ,pendiente,
πέρυσι,pendiente,
πέσετε,pendiente,
πέσητε,pendiente,
πέσωσιν,pendiente,
πέσῃ,pendiente,
πέτηται,pendiente,
πέτρα,pendiente,
πέτραι,pendiente,
πέτραις,pendiente,
πέτραν,pendiente,
πέτρας,pendiente,
πέτρε,pendiente,
πέτρον,pendiente,
πέτρος,pendiente,
πέτρου,pendiente,
πέτρᾳ,pendiente,
πέτρῳ,pendiente,
πήγανον,pendiente,
πήραν,pendiente,
πήρας,pendiente,
πίε,pendiente,
πίεσαι,pendiente,
πίεσθε,pendiente,
πίεται,pendiente,
πίετε,pendiente,
πίητε,pendiente,
πίμπρασθαι,pendiente,
πίνακι,pendiente,
πίνακος,pendiente,
πίνει,pendiente,
πίνειν,pendiente,
πίνετε,pendiente,
πίνητε,pendiente,
πίνοντες,pendiente,
πίνουσιν,pendiente,
πίνω,pendiente,
πίνων,pendiente,
πίνῃ,pendiente,
πίπτει,pendiente,
πίπτοντες,pendiente,
πίστει,pendiente,
πίστευέ,pendiente,
πίστευε,pendiente,
πίστευσον,pendiente,
πίστεως,pendiente,
πίστεώς,pendiente,
πίστιν,pendiente,
πίστις,pendiente,
πίω,pendiente,
πίωμεν,pendiente,
πίωσιν,pendiente,
πίῃ,pendiente,
παίδων,pendiente,
παίζειν,pendiente,
παίσας,pendiente,
παίσῃ,pendiente,
παγίδα,pendiente,
παγίδος,pendiente,
παγίς,pendiente,
παγιδεύσωσιν,pendiente,
παθήμασιν,pendiente,
παθήματα,pendiente,
παθεῖν,pendiente,
παθημάτων,pendiente,
παθητὸς,pendiente,
παθοῦσα,pendiente,
παθόντας,pendiente,
παθόντος,pendiente,
παθὼν,pendiente,
παιδάριον,pendiente,
παιδία,pendiente,
παιδίοις,pendiente,
παιδίον,pendiente,
παιδίου,pendiente,
παιδίσκας,pendiente,
παιδίσκη,pendiente,
παιδίσκην,pendiente,
παιδίσκης,pendiente,
παιδίων,pendiente,
παιδαγωγοὺς,pendiente,
παιδαγωγόν,pendiente,
παιδαγωγὸς,pendiente,
παιδεία,pendiente,
παιδείαν,pendiente,
παιδείας,pendiente,
παιδείᾳ,pendiente,
παιδευθῶσιν,pendiente,
παιδευτὰς,pendiente,
παιδευτὴν,pendiente,
παιδευόμεθα,pendiente,
παιδευόμενοι,pendiente,
παιδεύει,pendiente,
παιδεύοντα,pendiente,
παιδεύουσα,pendiente,
παιδεύσας,pendiente,
παιδεύω,pendiente,
παιδισκῶν,pendiente,
παιδιόθεν,pendiente,
παιδός,pendiente,
παιδὸς,pendiente,
παισὶν,pendiente,
παλαιά,pendiente,
παλαιούμενα,pendiente,
παλαιούμενον,pendiente,
παλαιούς,pendiente,
παλαιοῦ,pendiente,
παλαιωθήσονται,pendiente,
παλαιόν,pendiente,
παλαιότητι,pendiente,
παλαιὰν,pendiente,
παλαιὸν,pendiente,
παλαιὸς,pendiente,
παλαιᾶς,pendiente,
παλαιᾷ,pendiente,
παλαιῷ,pendiente,
παλιγγενεσίας,pendiente,
παλιγγενεσίᾳ,pendiente,
παμπληθεὶ,pendiente,
παμφυλίαν,pendiente,
παμφυλίας,pendiente,
πανδοχεῖ,pendiente,
πανδοχεῖον,pendiente,
πανηγύρει,pendiente,
πανοικεὶ,pendiente,
πανοπλίαν,pendiente,
πανουργίαν,pendiente,
πανουργίᾳ,pendiente,
πανοῦργος,pendiente,
παντί,pendiente,
πανταχοῦ,pendiente,
πανταχῇ,pendiente,
παντελές,pendiente,
παντελὲς,pendiente,
παντοκράτορος,pendiente,
παντοκράτωρ,pendiente,
παντός,pendiente,
παντὶ,pendiente,
παντὸς,pendiente,
παρ,pendiente,
παρά,pendiente,
παράβασις,pendiente,
παράγγελλε,pendiente,
παράγει,pendiente,
παράγεται,pendiente,
παράγοντά,pendiente,
παράγοντι,pendiente,
παράγων,pendiente,
παράδεισον,pendiente,
παράδοξα,pendiente,
παράδοσιν,pendiente,
παράθου,pendiente,
παράκειταί,pendiente,
παράκειται,pendiente,
παράκλησιν,pendiente,
παράκλησις,pendiente,
παράκλητον,pendiente,
παράκλητος,pendiente,
παράλαβε,pendiente,
παράπτωμα,pendiente,
παρέβη,pendiente,
παρέδοσαν,pendiente,
παρέδωκάν,pendiente,
παρέδωκα,pendiente,
παρέδωκαν,pendiente,
παρέδωκας,pendiente,
παρέδωκεν,pendiente,
παρέθεντο,pendiente,
παρέθηκαν,pendiente,
παρέθηκεν,pendiente,
παρέκυψεν,pendiente,
παρέλαβεν,pendiente,
παρέλαβες,pendiente,
παρέλαβον,pendiente,
παρέλθωσιν,pendiente,
παρέλθῃ,pendiente,
παρένεγκε,pendiente,
